id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
3687,hikon_s3_v1_accel_001,0.212646,-0.672607,0.879395,1.12737,4.0229,4.30534,-3.39695,2026-04-07 08:28:28.429373+00
3688,hikon_s3_v1_accel_001,0.026123,-0.787354,0.781738,1.10983,3.03817,0.40458,-2.9313,2026-04-07 08:28:48.4391+00
3689,hikon_s3_v1_accel_001,0.012207,-0.797363,0.754883,1.09808,4.43511,-3.19847,-1.28244,2026-04-07 08:28:58.512736+00
3690,hikon_s3_v1_accel_001,0.177246,-0.829834,0.710205,1.10654,1.34351,-0.709924,-2.28244,2026-04-07 08:29:08.362033+00
3691,hikon_s3_v1_accel_001,0.244873,-0.855469,0.681396,1.12075,0.748092,-0.78626,-2.12977,2026-04-07 08:29:17.817632+00
3692,hikon_s3_v1_accel_001,0.196289,-0.86499,0.641113,1.09442,1.48092,0.725191,-0.870229,2026-04-07 08:29:28.756207+00
3693,hikon_s3_v1_accel_001,-0.632324,-0.537109,0.651611,1.05495,2.24428,-4.48092,0.709924,2026-04-07 08:29:37.86783+00
3694,hikon_s3_v1_accel_001,-0.769531,-0.413818,0.635498,1.08041,5.00763,-0.580153,3.68702,2026-04-07 08:29:50.536368+00
3695,hikon_s3_v1_accel_001,-0.797119,-0.424316,0.484619,1.02484,3.19084,-2.32061,-1.34351,2026-04-07 08:30:00.895005+00
3696,hikon_s3_v1_accel_001,-0.905273,0.001465,0.750732,1.17606,-56.145,75.7786,52.4122,2026-04-07 08:30:25.491927+00
3697,hikon_s3_v1_accel_001,-0.811279,0.193115,0.602539,1.02884,0.282443,-2.08397,1.76336,2026-04-07 08:30:34.878228+00
3698,hikon_s3_v1_accel_001,-0.349121,-0.555176,0.835938,1.0625,-20.8321,1.0687,-8.59542,2026-04-07 08:30:56.111733+00
3699,hikon_s3_v1_accel_001,-0.046387,-0.737061,0.793457,1.08397,1.17557,-2.84733,1.18321,2026-04-07 08:31:20.076371+00
3700,hikon_s3_v1_accel_001,-0.300537,-0.442627,1.08911,1.21343,10.5038,-22.9084,-19.5878,2026-04-07 08:31:29.645371+00
3701,hikon_s3_v1_accel_001,-0.177734,-0.377441,1.04956,1.12944,4.51908,-4.80153,-1.54962,2026-04-07 08:31:40.204447+00
3702,hikon_s3_v1_accel_001,-0.378662,-0.645508,0.764893,1.07011,3.42748,1.83206,-4.73282,2026-04-07 08:31:49.945467+00
3703,hikon_s3_v1_accel_001,-0.39502,-0.681152,0.745117,1.08407,0.503817,0.389313,-0.977099,2026-04-07 08:31:59.622216+00
3704,hikon_s3_v1_accel_001,-0.404541,-0.713379,0.695068,1.07503,0.374046,-0.984733,-2.20611,2026-04-07 08:32:10.021631+00
3705,hikon_s3_v1_accel_001,-0.435303,-0.705566,0.667236,1.0642,3.55725,-3.03053,-0.419847,2026-04-07 08:32:20.266379+00
3706,hikon_s3_v1_accel_001,-0.475098,-0.67749,0.666016,1.06221,4.14504,-2.8855,-3.00763,2026-04-07 08:32:30.18316+00
3707,hikon_s3_v1_accel_001,-0.461426,-0.730713,0.618652,1.06282,0.633588,0.412214,-1.53435,2026-04-07 08:32:41.445474+00
3708,hikon_s3_v1_accel_001,-0.435059,-0.74707,0.625977,1.06735,5.61069,-0.320611,0.778626,2026-04-07 08:32:50.350816+00
3709,hikon_s3_v1_accel_001,-0.461426,-0.86792,0.255859,1.01571,8.55725,-1.15267,28.2824,2026-04-07 08:33:00.1861+00
3710,hikon_s3_v1_accel_001,-0.357422,-0.825439,0.551514,1.05511,7.48092,8.59542,-3.22901,2026-04-07 08:33:16.750097+00
3711,hikon_s3_v1_accel_001,-0.89917,0.217041,-0.095215,0.929881,2.1374,0.59542,-0.916031,2026-04-07 08:36:39.221409+00
3712,hikon_s3_v1_accel_001,-0.892822,0.200684,-0.099854,0.92053,3.64885,2.45801,-2.05344,2026-04-07 08:36:49.012471+00
3713,hikon_s3_v1_accel_001,-0.868652,0.255859,-0.134033,0.915416,0.549618,0.557252,-0.198473,2026-04-07 08:36:59.522055+00
3714,hikon_s3_v1_accel_001,-0.883545,0.198486,-0.164551,0.920394,8.8626,7.06107,-6.23664,2026-04-07 08:37:10.51618+00
3715,hikon_s3_v1_accel_001,-0.889404,0.256104,-0.05542,0.9272,3.75572,-0.59542,-2.98473,2026-04-07 08:37:19.203382+00
3716,hikon_s3_v1_accel_001,-0.896484,0.273926,-0.127686,0.946057,1.60305,-0.419847,-21.9542,2026-04-07 08:37:28.945684+00
3717,hikon_s3_v1_accel_001,-0.854004,0.194824,-0.14917,0.888555,-10.3435,-13.2443,-8.9771,2026-04-07 08:37:55.508203+00
3718,hikon_s3_v1_accel_001,-0.886963,0.23584,-0.128174,0.926689,-0.045802,-6.51908,-1.75573,2026-04-07 08:38:06.202048+00
3719,hikon_s3_v1_accel_001,-0.816895,0.219238,-0.292725,0.895025,6.37405,-3.93893,-0.618321,2026-04-07 08:38:16.697255+00
3720,hikon_s3_v1_accel_001,-0.816406,0.259521,-0.281738,0.901802,-7.96183,-8.07634,-4.25954,2026-04-07 08:38:26.732668+00
3721,hikon_s3_v1_accel_001,-0.81543,0.169189,-0.320557,0.89236,2.94656,0.206107,-1.44275,2026-04-07 08:38:41.530241+00
3722,hikon_s3_v1_accel_001,-0.845215,0.157227,-0.26001,0.898172,3.48855,-1.50382,0.015267,2026-04-07 08:38:52.339437+00
3723,hikon_s3_v1_accel_001,-0.797852,0.195801,-0.344971,0.891016,3.38931,1.44275,-0.694656,2026-04-07 08:39:04.06996+00
3724,hikon_s3_v1_accel_001,-0.824219,0.197021,-0.290771,0.895936,3.27481,0.221374,-0.977099,2026-04-07 08:39:11.829492+00
3725,hikon_s3_v1_accel_001,-0.834473,0.214355,-0.298828,0.911916,6.9771,5.38168,1.51145,2026-04-07 08:39:22.026612+00
3726,hikon_s3_v1_accel_001,-0.830322,0.163818,-0.314209,0.902773,5.1374,3.8626,0.671756,2026-04-07 08:39:41.431818+00
3727,hikon_s3_v1_accel_001,-0.432373,-0.552979,0.821289,1.08039,5.40458,-3.51908,-1.36641,2026-04-07 08:43:02.817307+00
3728,hikon_s3_v1_accel_001,-0.438477,-0.533203,0.839355,1.08678,3.16031,-1.0458,-2.0687,2026-04-07 08:43:12.463209+00
3729,hikon_s3_v1_accel_001,-0.464844,-0.532959,0.82251,1.08473,-1.72519,-13.7023,-1.89313,2026-04-07 08:43:22.527758+00
3730,hikon_s3_v1_accel_001,-0.517578,-0.527832,0.7771,1.07256,0.274809,3.23664,-0.015267,2026-04-07 08:43:32.640578+00
3731,hikon_s3_v1_accel_001,-0.532471,-0.511963,0.781982,1.0757,-0.816794,1.29008,-2.12214,2026-04-07 08:43:42.671634+00
3732,hikon_s3_v1_accel_001,-0.526611,-0.508789,0.784668,1.07326,3.53435,4.70229,-2.29008,2026-04-07 08:44:05.484946+00
3733,hikon_s3_v1_accel_001,-0.536621,-0.504883,0.799072,1.08692,2.12977,3.45038,-1.82443,2026-04-07 08:44:15.519498+00
3734,hikon_s3_v1_accel_001,-0.538574,-0.486572,0.789307,1.0723,10.5038,3.67176,-6.12977,2026-04-07 08:44:25.465187+00
3735,hikon_s3_v1_accel_001,-0.57251,-0.449951,0.805908,1.08615,0.175573,2.32824,-1.41221,2026-04-07 08:44:36.044036+00
3736,hikon_s3_v1_accel_001,-0.541748,-0.4646,0.81665,1.08456,2.46565,-2.03817,-0.908397,2026-04-07 08:44:45.334448+00
3737,hikon_s3_v1_accel_001,-0.514648,-0.434326,0.851074,1.08528,3.47328,-9.72519,-2.46565,2026-04-07 08:45:00.491019+00
3738,hikon_s3_v1_accel_001,-0.537109,-0.426025,0.82373,1.07169,3.59542,-1.79389,-2.83206,2026-04-07 08:45:10.204837+00
3739,hikon_s3_v1_accel_001,-0.772705,0.289551,-0.344238,0.894099,1.38168,-0.076336,-0.954198,2026-04-07 08:47:53.0542+00
3740,hikon_s3_v1_accel_001,-0.726807,0.218262,-0.446533,0.880499,8.96183,3.32824,7.37405,2026-04-07 08:48:02.800651+00
3741,hikon_s3_v1_accel_001,-0.746094,0.289307,-0.392334,0.891224,4.46565,1.75573,-1.87786,2026-04-07 08:48:14.331652+00
3742,hikon_s3_v1_accel_001,-0.756592,0.285889,-0.397705,0.901295,0.343511,-0.038168,-1.08397,2026-04-07 08:48:24.907531+00
3743,hikon_s3_v1_accel_001,0,0,0,0,3.12214,-0.076336,-1.18321,2026-04-07 08:48:34.639436+00
3744,hikon_s3_v1_accel_001,-0.698975,0.275391,-0.452881,0.877215,0.778626,-3.84733,-1.64885,2026-04-07 08:48:45.770514+00
3745,hikon_s3_v1_accel_001,-0.74292,0.061768,-0.467285,0.87983,2.76336,0.70229,-1.23664,2026-04-07 08:49:04.390922+00
