id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
3328,hikon_s3_v1_accel_001,-0.358398,-0.099854,1.05933,1.12276,1.38931,-4.83206,-2.20611,2026-04-06 12:06:02.313458+00
3329,hikon_s3_v1_accel_001,-0.352051,-0.161133,1.052,1.12099,2.99237,-1.25191,-1.83206,2026-04-06 12:06:26.689467+00
3330,hikon_s3_v1_accel_001,-0.327393,-0.179932,1.06445,1.12811,1.40458,0.122137,-0.633588,2026-04-06 12:06:36.92285+00
3331,hikon_s3_v1_accel_001,-0.17627,-0.02002,1.125,1.1389,1.90076,-1.38931,-2.0229,2026-04-06 12:06:47.261329+00
3332,hikon_s3_v1_accel_001,-0.229736,0.00415,1.11621,1.13962,2.19084,-1.1145,-1.17557,2026-04-06 12:06:56.96321+00
3333,hikon_s3_v1_accel_001,-0.238281,0.027588,1.12671,1.15196,3.00763,-1.90076,-1.65649,2026-04-06 12:07:06.913218+00
3334,hikon_s3_v1_accel_001,-0.358398,0.021729,1.0686,1.12731,2.16794,-2.05344,-1.50382,2026-04-06 12:07:25.96748+00
3335,hikon_s3_v1_accel_001,-0.405762,0.027344,1.04199,1.11854,0.061069,-0.274809,-3.35878,2026-04-06 12:07:36.003296+00
3336,hikon_s3_v1_accel_001,-0.420654,0.069336,1.02564,1.11071,1.19847,-1.12214,-0.099237,2026-04-06 12:07:45.953668+00
3337,hikon_s3_v1_accel_001,-0.446533,0.071533,1.03442,1.12896,2.34351,-0.229008,-0.885496,2026-04-06 12:07:58.951894+00
3338,hikon_s3_v1_accel_001,-0.482422,0.150146,0.986816,1.10864,3.71756,-2.55725,-1.25191,2026-04-06 12:08:06.436672+00
3339,hikon_s3_v1_accel_001,-0.417236,0.342285,0.960205,1.10147,1.24427,-0.587786,-1.43511,2026-04-06 12:08:15.939073+00
3340,hikon_s3_v1_accel_001,-0.354004,0.245605,1.01831,1.10571,5.8626,-1.35115,2.64122,2026-04-06 12:09:19.842633+00
3341,hikon_s3_v1_accel_001,-0.357178,0.241455,1.00366,1.09234,2.48855,-0.267176,-2.56488,2026-04-06 12:09:30.080929+00
3342,hikon_s3_v1_accel_001,-0.917969,0.14209,0.283691,0.971255,0.59542,-0.40458,-2.56488,2026-04-06 12:12:39.727793+00
3343,hikon_s3_v1_accel_001,-0.948975,0.173096,0.287109,1.00645,2.63359,-4.21374,0.007634,2026-04-06 12:13:02.675321+00
3344,hikon_s3_v1_accel_001,-0.917236,0.145264,0.274658,0.968432,4.62595,2.61832,-3.62595,2026-04-06 12:13:12.799517+00
3345,hikon_s3_v1_accel_001,-0.944824,0.091064,0.298584,0.995057,13.2672,27.3359,3.72519,2026-04-06 12:13:21.271669+00
3346,hikon_s3_v1_accel_001,-0.919922,0.112549,0.367432,0.99696,0.503817,-0.900763,0.358779,2026-04-06 12:13:42.09359+00
3347,hikon_s3_v1_accel_001,-0.918457,0.158936,0.313965,0.983564,4.92366,2.75572,-0.458015,2026-04-06 12:13:50.512381+00
3348,hikon_s3_v1_accel_001,-0.910156,0.147461,0.369873,0.993446,4.80153,0.801527,-2.89313,2026-04-06 12:14:01.231876+00
