id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
3391,hikon_s3_v1_accel_001,-0.339111,0.286621,1.0188,1.11135,1.71756,1.26718,-3.0229,2026-04-06 12:41:34.83319+00
3392,hikon_s3_v1_accel_001,-0.266602,0.230713,1.07935,1.13547,6.67939,0.160305,-4.66412,2026-04-06 12:41:44.268395+00
3393,hikon_s3_v1_accel_001,-0.12207,0.203369,1.11426,1.13922,6.43511,1.24427,-0.847328,2026-04-06 12:41:55.249872+00
3394,hikon_s3_v1_accel_001,-0.410889,0.108398,1.03271,1.11673,1.32061,-0.923664,-2.37405,2026-04-06 12:42:19.38171+00
3395,hikon_s3_v1_accel_001,-0.39624,0.08252,1.05762,1.13242,4.77099,0.167939,1.0916,2026-04-06 12:42:29.45423+00
3396,hikon_s3_v1_accel_001,-0.380859,0.071777,1.0415,1.11128,5.49618,0.450382,-4.8626,2026-04-06 12:42:40.079471+00
3397,hikon_s3_v1_accel_001,-0.387207,0.106689,1.04394,1.11854,2.35115,1.29008,-0.412214,2026-04-06 12:42:51.003689+00
3398,hikon_s3_v1_accel_001,-0.395996,0.097168,1.04004,1.11711,-0.091603,-0.503817,-2.17557,2026-04-06 12:42:59.544538+00
3399,hikon_s3_v1_accel_001,-0.469238,0.08252,0.994629,1.10285,1.61069,0.152672,-1.14504,2026-04-06 12:43:21.283025+00
3400,hikon_s3_v1_accel_001,-0.53833,0.083496,0.952393,1.09719,13.5114,-4.12214,-1.51908,2026-04-06 12:43:31.422788+00
3401,hikon_s3_v1_accel_001,-0.552979,0.149414,0.928223,1.09074,0.305344,-2,-0.625954,2026-04-06 12:43:41.81803+00
3402,hikon_s3_v1_accel_001,-0.291504,0.260986,1.04443,1.11532,6.77099,38.7786,-1.03817,2026-04-06 12:43:51.783798+00
3403,hikon_s3_v1_accel_001,-0.459717,0.316895,0.94458,1.09727,-8.96183,-2.8855,3.30534,2026-04-06 12:44:02.040446+00
3404,hikon_s3_v1_accel_001,-0.522461,0.32666,0.888916,1.08159,4.76336,2.12977,-2.0458,2026-04-06 12:44:25.078207+00
3405,hikon_s3_v1_accel_001,-0.902344,-0.023193,-0.193115,0.923069,2.0229,-1.41221,1.40458,2026-04-06 12:47:21.322198+00
3406,hikon_s3_v1_accel_001,-0.876465,0.006592,-0.227051,0.90542,6.05343,1.48855,-0.396947,2026-04-06 12:47:33.44396+00
3407,hikon_s3_v1_accel_001,-0.847412,0.001465,-0.30542,0.900772,-4.72519,-1.45038,0.206107,2026-04-06 12:47:38.902564+00
3408,hikon_s3_v1_accel_001,-0.855957,-0.006104,-0.271729,0.898074,1.78626,0.450382,-0.725191,2026-04-06 12:47:59.061929+00
3409,hikon_s3_v1_accel_001,-0.87085,-0.02002,-0.254395,0.907467,4.44275,-1.41985,-2.47328,2026-04-06 12:48:10.107486+00
3410,hikon_s3_v1_accel_001,-0.873047,-0.036377,-0.230225,0.903625,-0.847328,-1.9771,-0.274809,2026-04-06 12:48:21.51394+00
3411,hikon_s3_v1_accel_001,-0.870361,-0.04541,-0.222656,0.899537,0.374046,-2.00763,-2.39695,2026-04-06 12:48:28.751357+00
3412,hikon_s3_v1_accel_001,-0.86499,-0.018555,-0.258301,0.902924,2.03053,1.24427,-1.42748,2026-04-06 12:48:38.731461+00
3413,hikon_s3_v1_accel_001,0.016235,0.009949,-0.011414,0.0222,2.03053,1.24427,-1.42748,2026-04-06 12:49:02.119722+00
3414,hikon_s3_v1_accel_001,-0.922363,0.036377,-0.239502,0.953645,6.39695,-4.84733,-4.19084,2026-04-06 12:49:12.672193+00
3415,hikon_s3_v1_accel_001,-0.91626,0.077148,-0.117432,0.92697,19.5038,22.8397,5.93893,2026-04-06 12:49:21.375485+00
3416,hikon_s3_v1_accel_001,-0.926514,0.071289,-0.095947,0.934192,1.36641,1.21374,-0.572519,2026-04-06 12:49:46.19137+00
3417,hikon_s3_v1_accel_001,-0.879395,0.075928,-0.198975,0.904815,4.8855,-2.49618,-3.64122,2026-04-06 12:49:57.838023+00
3418,hikon_s3_v1_accel_001,-0.858154,0.106934,-0.242188,0.898064,-0.847328,-0.099237,-0.450382,2026-04-06 12:51:10.464435+00
3419,hikon_s3_v1_accel_001,-0.85791,0.093994,-0.247559,0.897847,3.33588,-1.30534,-1.40458,2026-04-06 12:51:16.586729+00
3420,hikon_s3_v1_accel_001,-0.868408,0.0979,-0.244629,0.907502,3.96183,-1.48855,-2.19084,2026-04-06 12:51:26.816501+00
3421,hikon_s3_v1_accel_001,-0.855713,0.088867,-0.253174,0.896794,-0.137405,-0.78626,-2.87786,2026-04-06 12:51:37.477501+00
3422,hikon_s3_v1_accel_001,-0.870605,0.091064,-0.252197,0.910961,3.85496,-1.84733,-3.12214,2026-04-06 12:51:46.654+00
3423,hikon_s3_v1_accel_001,-0.872314,0.100342,-0.258545,0.91534,3.16031,-2.52672,-2.40458,2026-04-06 12:52:06.39125+00
3424,hikon_s3_v1_accel_001,-0.869141,0.081055,-0.240234,0.905366,-0.229008,0.78626,-0.053435,2026-04-06 12:52:16.656377+00
3425,hikon_s3_v1_accel_001,-0.870605,0.09082,-0.253418,0.911275,3.28244,-0.320611,-1.26718,2026-04-06 12:52:26.431699+00
3426,hikon_s3_v1_accel_001,-0.871582,0.081299,-0.262695,0.913933,5.1374,-5.51908,-3.43512,2026-04-06 12:52:37.282611+00
3427,hikon_s3_v1_accel_001,-0.867676,0.083252,-0.234619,0.902684,3.93893,-2.71756,-2.26718,2026-04-06 12:52:47.938158+00
3428,hikon_s3_v1_accel_001,-0.861084,0.101563,-0.265137,0.906685,2.32061,-2.1374,-2.20611,2026-04-06 12:52:56.58262+00
3429,hikon_s3_v1_accel_001,-0.868408,0.08374,-0.247803,0.906946,2.82443,0.916031,-1.35878,2026-04-06 12:53:09.934811+00
3430,hikon_s3_v1_accel_001,-0.863037,0.090088,-0.237549,0.899655,1.74809,-0.977099,-0.78626,2026-04-06 12:53:20.024426+00
3431,hikon_s3_v1_accel_001,-0.751465,-0.006836,0.728027,1.04631,1.46565,-1.82443,-0.603053,2026-04-06 12:54:32.760467+00
3432,hikon_s3_v1_accel_001,-0.781494,0.009033,0.701416,1.05014,1.9542,-4.00763,-4.17557,2026-04-06 12:54:43.850854+00
3433,hikon_s3_v1_accel_001,-0.820801,0.025635,0.64502,1.04423,1.39695,-4.1145,-3.30534,2026-04-06 12:54:58.752288+00
3434,hikon_s3_v1_accel_001,-0.80835,0.00415,0.650146,1.03737,2.94656,-1.10687,-0.458015,2026-04-06 12:55:09.867168+00
3435,hikon_s3_v1_accel_001,-0.88208,-0.249023,0.445557,1.01912,2.28244,-1.27481,0.78626,2026-04-06 12:55:19.807309+00
3436,hikon_s3_v1_accel_001,-0.835938,-0.366943,0.503174,1.04241,-3.23664,19.7863,-43.7863,2026-04-06 12:55:29.076697+00
3437,hikon_s3_v1_accel_001,-0.867432,0.214844,0.285645,0.938183,26.145,16.7481,-61.1756,2026-04-06 12:55:42.837207+00
3438,hikon_s3_v1_accel_001,-0.898926,-0.034424,0.403076,0.98576,19.0534,-12.9466,-5.55725,2026-04-06 12:55:56.364231+00
3439,hikon_s3_v1_accel_001,-0.910156,-0.051758,0.422607,1.00482,2.0916,0.053435,-1.58015,2026-04-06 12:56:07.32186+00
3440,hikon_s3_v1_accel_001,-0.913818,-0.074463,0.429199,1.01233,2.1145,0.21374,-1.94657,2026-04-06 12:56:19.250676+00
3441,hikon_s3_v1_accel_001,-0.90625,-0.081299,0.437256,1.0095,2.77863,-0.053435,-1.23664,2026-04-06 12:56:28.565876+00
3442,hikon_s3_v1_accel_001,-0.916748,-0.084961,0.429199,1.0158,1.07634,-0.381679,-1.39695,2026-04-06 12:56:36.996109+00
3443,hikon_s3_v1_accel_001,-0.915527,-0.139404,0.351807,0.990652,2.51908,-1.78626,-0.442748,2026-04-06 12:57:13.014246+00
3444,hikon_s3_v1_accel_001,-0.921875,-0.166992,0.297852,0.983085,0.396947,3.05344,-3.85496,2026-04-06 12:57:24.682633+00
3445,hikon_s3_v1_accel_001,-0.904785,-0.187744,0.401123,1.00736,2.58779,1.54962,-2.07634,2026-04-06 12:57:34.467296+00
3446,hikon_s3_v1_accel_001,-0.916748,-0.001709,0.343506,0.978992,10.542,-5.22137,0.564885,2026-04-06 12:58:01.064664+00
3447,hikon_s3_v1_accel_001,-0.924805,0.04541,0.348145,0.989207,2,-0.29771,-1.33588,2026-04-06 12:58:06.048674+00
3448,hikon_s3_v1_accel_001,-0.72168,0.256104,0.749512,1.07153,1.83206,3.07634,-6.39695,2026-04-06 12:58:14.298806+00
3449,hikon_s3_v1_accel_001,-0.84668,0.095459,0.579346,1.03035,0.687023,-1.67939,-1,2026-04-06 12:58:23.608337+00
3450,hikon_s3_v1_accel_001,-0.86377,0.082764,0.542236,1.02321,2.76336,-0.442748,-2.25191,2026-04-06 12:58:34.210033+00
3451,hikon_s3_v1_accel_001,-0.864258,0.081299,0.53833,1.02145,2.1374,-0.061069,-1.82443,2026-04-06 12:58:43.843473+00
