id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
1957,hikon_s3_v1_accel_001,0.324707,-0.906494,1.27026,1.59397,-23.6183,-37.6947,-62.7557,2026-04-03 09:33:13.227675+00
1958,hikon_s3_v1_accel_001,-0.118652,-0.551025,0.8396,1.01125,17.0916,2.0916,105.679,2026-04-03 09:33:22.736669+00
1959,hikon_s3_v1_accel_001,0.125732,-0.986816,0.131592,1.00346,-3.30534,-5.41985,-1.89313,2026-04-03 09:33:33.362707+00
1960,hikon_s3_v1_accel_001,0.437988,-0.904541,0.114014,1.01145,2.12214,-0.259542,-1.78626,2026-04-03 09:34:23.812143+00
1961,hikon_s3_v1_accel_001,0.29834,-0.875244,0.354736,0.990402,20.9695,29.0153,-10.4962,2026-04-03 09:34:35.000965+00
1962,hikon_s3_v1_accel_001,0.080322,-0.997314,0.346924,1.05898,3.55725,-1.1145,-3.71756,2026-04-03 09:34:50.642673+00
1963,hikon_s3_v1_accel_001,0.783447,-0.27417,1.02539,1.31924,115.13,-45.458,179.817,2026-04-03 09:35:00.818352+00
1964,hikon_s3_v1_accel_001,0.343506,-0.44165,1.10303,1.23682,-27.0229,95.3053,-33.2137,2026-04-03 09:35:11.033353+00
1965,hikon_s3_v1_accel_001,0.032471,-1.01196,0.125244,1.0202,3.12214,4.70992,-2.15267,2026-04-03 09:35:33.349067+00
1966,hikon_s3_v1_accel_001,0.543945,-0.661377,0.597656,1.04427,23.2824,-178.725,58.3053,2026-04-03 09:35:39.407965+00
1967,hikon_s3_v1_accel_001,-0.604492,-0.465088,-0.4104,0.86611,40.0992,27.542,-28.4504,2026-04-03 09:35:55.589136+00
1968,hikon_s3_v1_accel_001,-0.405029,0.01001,-0.747559,0.85029,-9,12.2595,7.44275,2026-04-03 09:36:05.881891+00
1969,hikon_s3_v1_accel_001,0.501465,0.487305,-2,2.11871,-250.137,-229.053,-119.015,2026-04-03 09:36:25.707247+00
1970,hikon_s3_v1_accel_001,0.217285,-0.968506,0.297607,1.03624,55.8015,6.03817,14.0992,2026-04-03 09:36:35.428967+00
1971,hikon_s3_v1_accel_001,0.005859,-1.02466,0.256592,1.05631,-3.41221,-2.0916,1.32061,2026-04-03 09:36:45.367364+00
1972,hikon_s3_v1_accel_001,0.060059,-0.990479,0.313232,1.04056,2.00763,2.0916,-3.90076,2026-04-03 09:37:01.118548+00
1973,hikon_s3_v1_accel_001,0.071045,-0.991699,0.311035,1.04176,5.12214,-2.73282,-3.35878,2026-04-03 09:37:11.203806+00
1974,hikon_s3_v1_accel_001,0.716553,-0.471191,0.459229,0.97281,-42.3512,-103.588,65.145,2026-04-03 09:37:22.056282+00
1975,hikon_s3_v1_accel_001,-0.045898,-0.908936,0.435059,1.00873,21.0763,-30.5802,87.2672,2026-04-03 09:37:31.606127+00
1976,hikon_s3_v1_accel_001,-0.038818,-0.996582,-0.080078,1.00055,-1.92366,1.77863,1.84733,2026-04-03 09:37:52.779002+00
1977,hikon_s3_v1_accel_001,-1.15527,-0.144775,0.839355,1.43532,-236.13,86.4657,-139.702,2026-04-03 09:38:03.176475+00
1978,hikon_s3_v1_accel_001,0.876709,0.172363,0.755371,1.17001,7.74809,-2.70229,-14.8015,2026-04-03 09:38:13.285422+00
1979,hikon_s3_v1_accel_001,0.384521,-0.653564,0.715332,1.04245,-8.85496,14.145,1.0916,2026-04-03 09:38:32.836427+00
1980,hikon_s3_v1_accel_001,0.173584,-0.984375,0.283203,1.03891,8.96947,-2.21374,4.0458,2026-04-03 09:38:41.867366+00
1981,hikon_s3_v1_accel_001,-0.017822,-1.02564,0.144043,1.03585,1.73282,-2.00763,-2.00763,2026-04-03 09:38:52.230568+00
1982,hikon_s3_v1_accel_001,-0.001221,-1.00293,0.151367,1.01429,4.24428,2.48092,-5.47328,2026-04-03 09:39:01.802025+00
1983,hikon_s3_v1_accel_001,-0.052002,-1.00781,0.081299,1.01242,-1.07634,5.61069,1.14504,2026-04-03 09:39:15.581735+00
1984,hikon_s3_v1_accel_001,-0.072266,-0.991211,0.051514,0.995176,0.374046,-0.244275,0.114504,2026-04-03 09:39:25.71038+00
1985,hikon_s3_v1_accel_001,-0.053467,-0.995361,0.059326,0.99856,-0.832061,1.10687,0.977099,2026-04-03 09:39:35.278035+00
1986,hikon_s3_v1_accel_001,-0.071289,-1.0144,0.033936,1.01747,1.48855,-1.37405,-0.473282,2026-04-03 09:39:45.697117+00
1987,hikon_s3_v1_accel_001,-0.027832,-0.998291,0.068604,1.00103,2.33588,-2.68702,-2.50382,2026-04-03 09:39:55.500059+00
1988,hikon_s3_v1_accel_001,-0.028564,-1.01831,0.080811,1.02191,2.39695,1.06107,0.435115,2026-04-03 09:40:07.094615+00
1989,hikon_s3_v1_accel_001,-0.043701,-1.01147,0.093506,1.01673,1.8855,-5.38168,-1.91603,2026-04-03 09:40:15.351683+00
1990,hikon_s3_v1_accel_001,-0.007324,-1.04224,0.119385,1.04908,1.74046,1.49618,1.74046,2026-04-03 09:40:26.0074+00
1991,hikon_s3_v1_accel_001,0.012939,-0.999512,0.127686,1.00772,0.274809,-1.29771,-1.62595,2026-04-03 09:40:35.7749+00
1992,hikon_s3_v1_accel_001,0.00293,-1.02808,0.098389,1.03278,3.59542,0.503817,-2.93893,2026-04-03 09:40:45.788732+00
1993,hikon_s3_v1_accel_001,0.017578,-1.02026,0.137207,1.0296,3.01527,-3.68702,-2.62595,2026-04-03 09:40:55.337403+00
1994,hikon_s3_v1_accel_001,0.009766,-0.996094,0.106934,1.00187,-1.77099,-9.99237,2.28244,2026-04-03 09:41:15.422952+00
1995,hikon_s3_v1_accel_001,0.050781,-1.01782,0.131104,1.02749,0.099237,-1.40458,2.63359,2026-04-03 09:41:25.446199+00
1996,hikon_s3_v1_accel_001,0.053955,-1.00977,0.248291,1.04124,-0.824427,-4.56489,0.396947,2026-04-03 09:41:36.229525+00
1997,hikon_s3_v1_accel_001,0.060791,-1.00684,0.240234,1.03688,1.9771,0.435115,-3.08397,2026-04-03 09:41:46.376686+00
1998,hikon_s3_v1_accel_001,0.037842,-1.01465,0.218994,1.0387,2.0458,1.00763,-0.80916,2026-04-03 09:41:56.55415+00
1999,hikon_s3_v1_accel_001,0.025879,-1.00537,0.230957,1.03188,-10.855,-159.061,-233.435,2026-04-03 09:42:06.657741+00
2000,hikon_s3_v1_accel_001,0.07373,-0.991943,0.274414,1.03184,-4.48092,-1.27481,-1.73282,2026-04-03 09:42:16.538269+00
2001,hikon_s3_v1_accel_001,0.07373,-1.00732,0.268799,1.04517,-10.2519,8.70229,-15.5573,2026-04-03 09:42:26.870951+00
2002,hikon_s3_v1_accel_001,0.0625,-1.00659,0.251953,1.03953,-9.48855,7.81679,0.778626,2026-04-03 09:42:36.702664+00
2003,hikon_s3_v1_accel_001,0.039307,-1.01611,0.204346,1.0372,-1.10687,-6.60305,5.57252,2026-04-03 09:42:46.727296+00
2004,hikon_s3_v1_accel_001,-0.04541,-1.00732,0.165527,1.02184,2.8626,2.82443,-5.29008,2026-04-03 09:42:56.553967+00
2005,hikon_s3_v1_accel_001,-0.019287,-1.00732,0.096191,1.01209,-1.28244,-0.854962,0.465649,2026-04-03 09:43:06.377695+00
2006,hikon_s3_v1_accel_001,0.036377,-0.990479,0.098633,0.996042,-1.44275,-7.70992,4.40458,2026-04-03 09:43:16.350686+00
2007,hikon_s3_v1_accel_001,0.017822,-1.00024,0.035645,1.00104,-9.56489,7.85496,0.465649,2026-04-03 09:43:26.749747+00
2008,hikon_s3_v1_accel_001,0.055664,-1.00049,0.015625,1.00216,0.419847,-2.9084,2.14504,2026-04-03 09:43:47.753346+00
2009,hikon_s3_v1_accel_001,-0.009521,-1.01392,-0.018799,1.01414,-55.1374,-30.9466,-50.5267,2026-04-03 09:43:57.819052+00
2010,hikon_s3_v1_accel_001,-0.079346,-0.975098,-0.024658,0.978631,2.64885,-6.03817,-23.2748,2026-04-03 09:44:07.711051+00
2011,hikon_s3_v1_accel_001,-0.152344,-0.973389,-0.051758,0.986597,-13.1756,1.32061,-0.351145,2026-04-03 09:44:18.566409+00
2012,hikon_s3_v1_accel_001,-0.291992,-0.881836,-0.151855,0.941251,-9.93893,8.01527,0.458015,2026-04-03 09:44:27.731749+00
2013,hikon_s3_v1_accel_001,-0.176758,-0.969727,-0.121826,0.993204,-10.3282,7.96183,1.18321,2026-04-03 09:44:38.241156+00
2014,hikon_s3_v1_accel_001,-0.040771,-0.79126,0.805664,1.12998,-5.49618,-2.08397,-2.0458,2026-04-03 09:44:47.894194+00
2015,hikon_s3_v1_accel_001,-0.050537,-0.987305,-0.113037,0.995039,5.54199,8.41985,-8.31298,2026-04-03 09:46:31.558292+00
2016,hikon_s3_v1_accel_001,-0.038086,-1.01514,-0.086426,1.01952,13.5649,21.6947,5.74046,2026-04-03 09:46:40.934627+00
2017,hikon_s3_v1_accel_001,-0.039795,-0.979492,-0.123047,0.987992,-1.66412,-2.87786,2.1374,2026-04-03 09:46:50.980065+00
2018,hikon_s3_v1_accel_001,-0.026611,-0.972168,-0.108398,0.978555,-0.259542,-4.67939,-0.992366,2026-04-03 09:47:01.302873+00
2019,hikon_s3_v1_accel_001,-0.046875,-0.971191,-0.114502,0.979041,3.83206,0.709924,-2.51908,2026-04-03 09:47:10.856401+00
2020,hikon_s3_v1_accel_001,-0.054932,-0.970703,-0.132324,0.98122,2.81679,-1.20611,-0.251908,2026-04-03 09:47:20.80951+00
2021,hikon_s3_v1_accel_001,-0.060303,-0.969727,-0.123047,0.97936,0.580153,-4.10687,-1.14504,2026-04-03 09:47:30.647169+00
2022,hikon_s3_v1_accel_001,-0.07251,-0.967529,-0.141602,0.980521,0.801527,7.75572,-1.32061,2026-04-03 09:47:40.675788+00
2023,hikon_s3_v1_accel_001,-0.10083,-0.957275,-0.090332,0.9668,2.45801,-0.045802,-1.43511,2026-04-03 09:47:51.085166+00
2024,hikon_s3_v1_accel_001,-0.099365,-0.977051,-0.097656,0.986934,2.55725,-0.435115,-1.65649,2026-04-03 09:48:01.148874+00
2025,hikon_s3_v1_accel_001,-0.104248,-0.974854,-0.075195,0.983291,-0.832061,-0.633588,-0.572519,2026-04-03 09:48:10.637025+00
2026,hikon_s3_v1_accel_001,-0.125977,-0.975098,-0.053711,0.984668,2.61069,-0.251908,-1.86259,2026-04-03 09:48:28.848637+00
2027,hikon_s3_v1_accel_001,-0.129395,-0.970947,-0.045166,0.980572,2.41221,2.74809,-2.33588,2026-04-03 09:48:39.014277+00
2028,hikon_s3_v1_accel_001,-0.124512,-0.996582,-0.021484,1.00456,2.0229,0.557252,-2.44275,2026-04-03 09:48:48.933358+00
2029,hikon_s3_v1_accel_001,-0.123291,-0.986084,-0.018311,0.99393,6.57252,-0.923664,-4.44275,2026-04-03 09:48:58.760834+00
2030,hikon_s3_v1_accel_001,-0.131348,-0.986328,-0.056641,0.996646,-3.32824,4.26718,-0.320611,2026-04-03 09:49:08.982127+00
2031,hikon_s3_v1_accel_001,-0.207764,-0.935303,-0.109863,0.964379,-0.916031,-2.22137,1.35878,2026-04-03 09:49:18.751923+00
2032,hikon_s3_v1_accel_001,-0.248291,-0.944824,-0.02124,0.977135,0.801527,2.46565,-3.1145,2026-04-03 09:49:29.603858+00
2033,hikon_s3_v1_accel_001,-0.273438,-0.939941,-0.056641,0.980544,0.175573,-3.89313,1.9771,2026-04-03 09:49:39.037728+00
2034,hikon_s3_v1_accel_001,-0.240967,-0.952637,-0.010254,0.982694,2.51145,0.854962,-0.480916,2026-04-03 09:49:50.892482+00
2035,hikon_s3_v1_accel_001,-0.252686,-0.919434,-0.012939,0.953612,1.15267,-0.541985,-0.610687,2026-04-03 09:49:59.289145+00
2036,hikon_s3_v1_accel_001,-0.267334,-0.960205,-0.018799,0.996903,-1.03817,4.80153,-1.72519,2026-04-03 09:50:08.860518+00
2037,hikon_s3_v1_accel_001,-0.251709,-0.959229,-0.041748,0.992582,0.946565,0.290076,-2.85496,2026-04-03 09:50:19.143021+00
2038,hikon_s3_v1_accel_001,-0.310547,-0.920654,-0.080322,0.974934,2.50382,-0.358779,-1.99237,2026-04-03 09:50:33.827172+00
2039,hikon_s3_v1_accel_001,-0.259277,-0.930664,-0.024902,0.966427,6.74809,3.9084,-6.9313,2026-04-03 09:50:43.821605+00
2040,hikon_s3_v1_accel_001,-0.361816,-0.879639,-0.114014,0.957953,-4.25954,-2.20611,4.60305,2026-04-03 09:50:54.36295+00
2041,hikon_s3_v1_accel_001,-0.328857,-0.931396,-0.024658,0.988056,5.42748,6.48092,-2.87023,2026-04-03 09:51:04.097548+00
2042,hikon_s3_v1_accel_001,-0.349121,-0.920898,-0.077881,0.98793,4.9771,1.35115,-3.50382,2026-04-03 09:51:13.828559+00
2043,hikon_s3_v1_accel_001,-0.365967,-0.899414,-0.062744,0.973044,1.52672,-2.73282,-0.618321,2026-04-03 09:51:31.107143+00
2044,hikon_s3_v1_accel_001,-0.415771,-0.872559,-0.082275,0.970048,0.358779,2.45038,0.282443,2026-04-03 09:51:40.86245+00
2045,hikon_s3_v1_accel_001,-0.568115,-0.76123,-0.176514,0.966118,3.9313,7,-6.22901,2026-04-03 09:51:50.896318+00
2046,hikon_s3_v1_accel_001,-0.552246,-0.786621,-0.054932,0.962687,1.85496,4.07634,-1.74809,2026-04-03 09:52:00.654133+00
2047,hikon_s3_v1_accel_001,-0.547607,-0.759033,-0.158691,0.949309,7.30534,2.65649,-2.93893,2026-04-03 09:52:10.962653+00
2048,hikon_s3_v1_accel_001,-0.520508,-0.789795,-0.136963,0.955753,4.07634,0.587786,-2.74046,2026-04-03 09:52:20.882957+00
2049,hikon_s3_v1_accel_001,-0.508789,-0.78125,-0.1604,0.946016,-2.29008,-2.93893,1.39695,2026-04-03 09:52:30.926668+00
2050,hikon_s3_v1_accel_001,-0.539307,-0.699219,-0.140137,0.89409,5.1145,0.78626,-3.69466,2026-04-03 09:52:41.058994+00
2051,hikon_s3_v1_accel_001,-0.558105,-0.717773,-0.168213,0.924649,1.0687,-4.47328,-1.72519,2026-04-03 09:52:50.829678+00
2052,hikon_s3_v1_accel_001,-0.577148,-0.696777,-0.253418,0.939585,8.45802,-1.21374,-5.28244,2026-04-03 09:53:00.715023+00
2053,hikon_s3_v1_accel_001,-0.291504,-0.913086,-0.186279,0.976422,4.14504,-2.8626,-1.17557,2026-04-03 09:53:10.953921+00
