id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
3254,hikon_s3_v1_accel_001,-0.867188,0.090332,-0.250977,0.907283,2.09924,-4.90076,-1.0687,2026-04-06 11:31:51.955398+00
3255,hikon_s3_v1_accel_001,-0.876221,0.076904,-0.214844,0.905447,3.69466,0.312977,-2.74046,2026-04-06 11:32:01.946673+00
3256,hikon_s3_v1_accel_001,-0.880859,0.09668,-0.19751,0.907893,5.23664,0.664122,-3.66412,2026-04-06 11:32:11.117687+00
3257,hikon_s3_v1_accel_001,-0.888916,0.078369,-0.206543,0.915955,3.39695,1.64885,-1.56489,2026-04-06 11:32:21.222062+00
3258,hikon_s3_v1_accel_001,-0.893311,0.085449,-0.186035,0.916468,-1.63359,-3.64885,-1.8855,2026-04-06 11:32:31.25559+00
3259,hikon_s3_v1_accel_001,-0.900391,0.090088,-0.198486,0.926399,3.96183,-1.70992,-2.54199,2026-04-06 11:32:52.860797+00
3260,hikon_s3_v1_accel_001,-0.877441,0.082764,-0.208252,0.905606,1.62595,-2.45801,-1.74046,2026-04-06 11:33:02.801154+00
3261,hikon_s3_v1_accel_001,-0.876953,0.0896,-0.214111,0.907149,2.89313,0.267176,-2.15267,2026-04-06 11:33:12.950552+00
3262,hikon_s3_v1_accel_001,-0.870605,0.10498,-0.223389,0.904918,3.14504,-2.56488,-1.94657,2026-04-06 11:33:23.67352+00
3263,hikon_s3_v1_accel_001,-0.869141,0.123779,-0.229736,0.907472,1.35115,-1.03817,-1.87786,2026-04-06 11:33:33.056998+00
3264,hikon_s3_v1_accel_001,-0.890137,0.116455,-0.175293,0.914676,-1.57252,0.099237,-0.992366,2026-04-06 11:33:55.422347+00
3265,hikon_s3_v1_accel_001,-0.883057,0.11499,-0.193604,0.911314,1.32061,-2.19084,-1.48092,2026-04-06 11:34:01.713468+00
3266,hikon_s3_v1_accel_001,-0.421631,0.285645,0.97876,1.10333,3.20611,-0.641221,-3.64122,2026-04-06 11:35:11.45447+00
3267,hikon_s3_v1_accel_001,-0.236572,0.320068,1.05689,1.12934,5.03817,-7.34351,-2.01527,2026-04-06 11:35:20.791062+00
3268,hikon_s3_v1_accel_001,-0.207031,0.274658,1.07251,1.12631,3.36641,-2.51908,-2.05344,2026-04-06 11:35:38.469244+00
