id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
3474,hikon_s3_v1_accel_001,-0.631104,-0.028564,0.869141,1.07448,-0.59542,-9.19847,-5.06107,2026-04-07 06:32:48.868376+00
3475,hikon_s3_v1_accel_001,-0.710693,-0.067627,0.804932,1.07591,-0.992366,-2.0229,-3.55725,2026-04-07 06:32:58.325868+00
3476,hikon_s3_v1_accel_001,-0.718506,-0.063721,0.802979,1.07939,6.54199,3.07634,-0.412214,2026-04-07 06:33:08.294892+00
3477,hikon_s3_v1_accel_001,-0.703857,-0.121094,0.799805,1.07227,2.22901,-1.32061,-1.9313,2026-04-07 06:33:18.682181+00
3478,hikon_s3_v1_accel_001,-0.768555,0.003174,0.713379,1.04862,3.38168,-1.81679,-1.35878,2026-04-07 06:33:28.790686+00
3479,hikon_s3_v1_accel_001,-0.920166,-0.291992,0.388672,1.04069,-2.92366,0.038168,-3.47328,2026-04-07 06:34:48.309777+00
3480,hikon_s3_v1_accel_001,-0.905518,-0.223877,0.385742,1.0094,0.030534,1.56489,-1.61832,2026-04-07 06:35:34.732054+00
3481,hikon_s3_v1_accel_001,-0.87915,-0.223633,0.427734,1.00293,2.40458,-0.290076,-2.07634,2026-04-07 06:35:53.343459+00
3482,hikon_s3_v1_accel_001,-0.877441,-0.244385,0.410889,0.999228,2.76336,-0.847328,-0.679389,2026-04-07 06:36:03.327036+00
3483,hikon_s3_v1_accel_001,-0.871094,-0.282959,0.469482,1.02921,7.28244,-17.5954,-2.80916,2026-04-07 06:36:13.467111+00
3484,hikon_s3_v1_accel_001,-0.887939,-0.263184,0.426758,1.01972,1.14504,-1.67176,-1.28244,2026-04-07 06:36:23.497163+00
3485,hikon_s3_v1_accel_001,-0.877441,-0.289795,0.388916,1.00257,1.59542,-0.557252,-0.587786,2026-04-07 06:36:33.338664+00
3486,hikon_s3_v1_accel_001,-0.846436,-0.3125,0.437012,1.00254,2.51908,-1.26718,-1.61069,2026-04-07 06:36:43.347135+00
3487,hikon_s3_v1_accel_001,-0.859619,-0.308105,0.355225,0.979826,3.63359,-2.07634,-1.22901,2026-04-07 06:36:53.435503+00
3488,hikon_s3_v1_accel_001,-0.873535,-0.30127,0.408936,1.01047,4.12977,0.694656,-2.58015,2026-04-07 06:37:03.310463+00
3489,hikon_s3_v1_accel_001,-0.878174,-0.290771,0.437012,1.02309,2.12977,-3.29008,-0.458015,2026-04-07 06:37:13.953819+00
3490,hikon_s3_v1_accel_001,-0.855225,-0.30542,0.422852,1.00174,3.41221,-2.25191,-2.35115,2026-04-07 06:37:23.704816+00
3491,hikon_s3_v1_accel_001,-0.855957,-0.342285,0.411621,1.00958,1.18321,-0.320611,-0.755725,2026-04-07 06:37:33.552555+00
3492,hikon_s3_v1_accel_001,-0.855957,-0.299316,0.474854,1.02359,3.58015,-1.32824,-1.90076,2026-04-07 06:37:50.726484+00
3493,hikon_s3_v1_accel_001,-0.931885,-0.245605,0.544434,1.10686,-33.5115,35.0076,17.3359,2026-04-07 06:38:00.927954+00
