id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
4039,hikon_s3_v1_accel_001,-0.900146,-0.257813,0.332031,0.993466,-0.183206,-3.45038,-2.33588,2026-04-07 11:41:28.222934+00
4040,hikon_s3_v1_accel_001,-0.891602,-0.061035,0.480225,1.01454,7.23664,-1.72519,-3.38931,2026-04-07 11:41:38.648868+00
4041,hikon_s3_v1_accel_001,0.057861,-0.013794,-0.0271,0.065365,17.8168,-1.70229,-23.7557,2026-04-07 11:41:51.309503+00
4042,hikon_s3_v1_accel_001,-0.861816,-0.208008,0.407471,0.975719,8.69466,-18.1603,-5.96947,2026-04-07 11:42:01.052903+00
4043,hikon_s3_v1_accel_001,-0.892822,-0.018311,0.469971,1.00913,-0.648855,-1.48855,-1.70229,2026-04-07 11:42:10.788029+00
4044,hikon_s3_v1_accel_001,-0.881836,0.142822,0.481689,1.01492,-0.038168,-2.20611,-1.77863,2026-04-07 11:42:38.740192+00
4045,hikon_s3_v1_accel_001,-0.866211,0.130371,0.48877,1.0031,-0.10687,0.21374,-3.12214,2026-04-07 11:42:49.417329+00
4046,hikon_s3_v1_accel_001,-0.858643,0.157715,0.517334,1.01478,0.015267,1.94657,-3.1145,2026-04-07 11:42:58.953932+00
4047,hikon_s3_v1_accel_001,-0.876221,0.185547,0.462402,1.00797,5,-1.51145,-0.458015,2026-04-07 11:43:09.229328+00
4048,hikon_s3_v1_accel_001,-0.873291,0.189209,0.450684,1.00078,0.412214,-1.50382,-0.541985,2026-04-07 11:43:18.959632+00
4049,hikon_s3_v1_accel_001,-0.839355,0.260254,0.541748,1.03235,5.80916,1.47328,-0.572519,2026-04-07 11:43:37.433327+00
4050,hikon_s3_v1_accel_001,-0.824951,0.279785,0.528809,1.01905,3.39695,2.06107,-2.54962,2026-04-07 11:43:48.05015+00
4051,hikon_s3_v1_accel_001,-0.706787,-0.013184,-0.511475,0.872541,1.58015,-0.465649,-0.946565,2026-04-07 11:47:06.438132+00
4052,hikon_s3_v1_accel_001,-0.711914,-0.023438,-0.516357,0.87977,2.0229,1.34351,-0.992366,2026-04-07 11:47:17.308573+00
4053,hikon_s3_v1_accel_001,-0.682373,0.052979,-0.537842,0.870467,1.89313,-0.076336,-1.06107,2026-04-07 11:47:45.577989+00
4054,hikon_s3_v1_accel_001,-0.687256,0.05127,-0.550049,0.881761,0.824427,-3.38168,-2.38168,2026-04-07 11:47:54.345564+00
4055,hikon_s3_v1_accel_001,-0.692627,0.070801,-0.53418,0.877549,-0.854962,-0.793893,-1.12214,2026-04-07 11:48:04.259166+00
4056,hikon_s3_v1_accel_001,-0.683838,0.069824,-0.538574,0.873254,2.1145,-0.519084,-0.961832,2026-04-07 11:48:14.175391+00
4057,hikon_s3_v1_accel_001,-0.676025,0.065674,-0.532471,0.863046,3.84733,-2.9542,-1.87023,2026-04-07 11:48:23.996754+00
4058,hikon_s3_v1_accel_001,-0.690918,0.067627,-0.532471,0.874909,0.59542,-0.389313,-0.946565,2026-04-07 11:48:44.25564+00
4059,hikon_s3_v1_accel_001,-0.685547,0.072266,-0.537842,0.87434,4.98473,2.01527,-0.938931,2026-04-07 11:48:54.946638+00
4060,hikon_s3_v1_accel_001,-0.669922,0.067627,-0.560791,0.876274,0.007634,-0.343511,3.19847,2026-04-07 11:49:04.350754+00
4061,hikon_s3_v1_accel_001,-0.644775,0.040039,-0.569824,0.861416,2.50382,-0.916031,-0.847328,2026-04-07 11:49:14.870284+00
4062,hikon_s3_v1_accel_001,-0.620361,0.066406,-0.585693,0.855742,0.816794,-1.93893,-0.80916,2026-04-07 11:49:24.912401+00
4063,hikon_s3_v1_accel_001,-0.676514,0.085205,-0.537109,0.867996,2.18321,-0.167939,-1.35115,2026-04-07 11:49:46.750643+00
4064,hikon_s3_v1_accel_001,-0.685059,0.070068,-0.532471,0.870483,1.0916,-1.53435,-1.48092,2026-04-07 11:49:56.852348+00
4065,hikon_s3_v1_accel_001,-0.691895,0.079346,-0.552734,0.889117,3.07634,-0.473282,-1.48092,2026-04-07 11:50:06.99146+00
4066,hikon_s3_v1_accel_001,-0.68457,0.067871,-0.541504,0.875482,3.15267,0.061069,-1.32824,2026-04-07 11:50:17.553471+00
4067,hikon_s3_v1_accel_001,-0.673096,0.077637,-0.552979,0.874569,3.99237,-0.229008,-1.82443,2026-04-07 11:50:27.143492+00
4068,hikon_s3_v1_accel_001,-0.662109,0.085205,-0.551025,0.865608,2.18321,-1.05343,-2.03817,2026-04-07 11:50:44.730846+00
4069,hikon_s3_v1_accel_001,-0.658691,0.078369,-0.552246,0.863129,-4.55725,-0.374046,2.60305,2026-04-07 11:50:54.980069+00
4070,hikon_s3_v1_accel_001,-0.684082,0.064941,-0.526611,0.86574,3.99237,-0.435115,-2.06107,2026-04-07 11:51:05.072425+00
4071,hikon_s3_v1_accel_001,-0.67749,0.06665,-0.541504,0.869863,1.48092,-1.61832,-1.38168,2026-04-07 11:51:15.196918+00
4072,hikon_s3_v1_accel_001,-0.674805,0.046631,-0.551758,0.87291,2.77863,0.152672,-1.54199,2026-04-07 11:51:24.938682+00
4073,hikon_s3_v1_accel_001,-0.692627,0.090332,-0.530273,0.876973,-0.473282,-1.41221,-0.312977,2026-04-07 11:51:44.07386+00
4074,hikon_s3_v1_accel_001,-0.945313,-0.091797,0.190186,0.968614,2.82443,22.2443,31.1908,2026-04-07 11:54:15.380166+00
4075,hikon_s3_v1_accel_001,-0.943115,-0.024414,0.189209,0.962217,4.78626,-2.21374,-5.29008,2026-04-07 11:54:25.119642+00
4076,hikon_s3_v1_accel_001,-0.866699,-0.111572,0.027344,0.874279,6.10687,56.1145,141.893,2026-04-07 11:54:35.203419+00
4077,hikon_s3_v1_accel_001,-0.933838,-0.130127,0.291992,0.987039,2.52672,-1.17557,-0.854962,2026-04-07 11:54:58.412348+00
4078,hikon_s3_v1_accel_001,-0.915527,-0.103027,0.344727,0.983688,3.46565,-1.87023,-0.793893,2026-04-07 11:55:25.811526+00
4079,hikon_s3_v1_accel_001,-0.912598,-0.080811,0.370361,0.988196,2.75572,-1.19847,-1.76336,2026-04-07 11:55:35.353892+00
4080,hikon_s3_v1_accel_001,-0.918945,-0.098877,0.338379,0.984245,-0.343511,2.67176,-1.03053,2026-04-07 11:55:45.843509+00
4081,hikon_s3_v1_accel_001,-0.921143,-0.112549,0.356689,0.994182,1.13741,-1.0229,-1.89313,2026-04-07 11:56:06.695569+00
4082,hikon_s3_v1_accel_001,-0.935547,-0.122559,0.355225,1.00819,2.10687,-1.03817,-1.03817,2026-04-07 11:56:16.004522+00
4083,hikon_s3_v1_accel_001,-0.927002,-0.072021,0.330078,0.986646,2.57252,-1.32824,-1.62595,2026-04-07 11:56:26.198279+00
4084,hikon_s3_v1_accel_001,-0.928467,-0.063965,0.328125,0.986817,4.19084,-1.23664,-1.61832,2026-04-07 11:56:36.429706+00
4085,hikon_s3_v1_accel_001,-0.926758,-0.078125,0.329346,0.986637,2.66412,-2.32061,-2.84733,2026-04-07 11:56:46.646251+00
4086,hikon_s3_v1_accel_001,-0.911865,-0.130615,0.322266,0.975917,3.21374,2.65649,2.19084,2026-04-07 11:57:06.142992+00
4087,hikon_s3_v1_accel_001,-0.929199,-0.141113,0.326172,0.994843,2.07634,1.32824,-1.38931,2026-04-07 11:57:16.163351+00
4088,hikon_s3_v1_accel_001,-0.936035,-0.135986,0.312988,0.996301,2.20611,-1.56489,-2.51908,2026-04-07 11:57:26.40251+00
4089,hikon_s3_v1_accel_001,-0.920654,-0.137451,0.318848,0.983952,2.62595,-1.83206,-1.61069,2026-04-07 11:57:36.450108+00
4090,hikon_s3_v1_accel_001,-0.92041,-0.147461,0.325684,0.987405,1.37405,-0.580153,-2.70229,2026-04-07 11:57:46.85945+00
4091,hikon_s3_v1_accel_001,-0.929199,-0.168945,0.285156,0.986543,3.24428,-2.40458,-1.73282,2026-04-07 11:58:07.03231+00
4092,hikon_s3_v1_accel_001,-0.932617,-0.147705,0.269287,0.98189,1.78626,-0.076336,-1.47328,2026-04-07 11:58:16.447277+00
4093,hikon_s3_v1_accel_001,-0.89209,-0.056396,-0.192139,0.914288,5.32061,2.64885,-2.51145,2026-04-07 12:01:24.81916+00
4094,hikon_s3_v1_accel_001,-0.907471,-0.023438,-0.168213,0.923227,4.07634,0.389313,0.229008,2026-04-07 12:01:32.296279+00
4095,hikon_s3_v1_accel_001,-0.892822,-0.000977,-0.177979,0.910389,5.63359,-1.32824,-1.34351,2026-04-07 12:01:41.369295+00
4096,hikon_s3_v1_accel_001,-0.916504,0.018066,-0.073975,0.919662,2.82443,-1.34351,-1.53435,2026-04-07 12:01:51.818541+00
4097,hikon_s3_v1_accel_001,-0.928223,0.052002,0.080566,0.933163,6.8626,1.16794,-7.31298,2026-04-07 12:02:01.432691+00
4098,hikon_s3_v1_accel_001,-0.92749,-0.111572,-0.018555,0.934361,3.28244,-0.48855,-1.0458,2026-04-07 12:02:20.288115+00
4099,hikon_s3_v1_accel_001,-0.937744,-0.113281,0.010742,0.944623,3.49618,-3.0687,2.0687,2026-04-07 12:02:31.149439+00
4100,hikon_s3_v1_accel_001,-0.940186,-0.111572,0.041748,0.947703,3.40458,-1.19847,-0.045802,2026-04-07 12:02:40.244837+00
4101,hikon_s3_v1_accel_001,-0.947021,-0.09082,0.077881,0.954549,2.76336,-0.381679,-1.06107,2026-04-07 12:02:50.785105+00
4102,hikon_s3_v1_accel_001,-0.932373,-0.077148,0.143799,0.946546,4.21374,-0.435115,0.610687,2026-04-07 12:03:00.641708+00
4103,hikon_s3_v1_accel_001,-0.926025,-0.162109,0.24707,0.972032,-1.75573,2.66412,-1.0458,2026-04-07 12:03:10.796333+00
4104,hikon_s3_v1_accel_001,-0.913818,-0.236084,0.301758,0.990887,-4.32824,-10.0076,-4.83969,2026-04-07 12:03:22.716173+00
4105,hikon_s3_v1_accel_001,-0.935303,-0.068848,0.235107,0.966854,-5.9542,-2.62595,-0.709924,2026-04-07 12:03:33.401253+00
4106,hikon_s3_v1_accel_001,-0.937744,-0.038818,0.264893,0.975212,8.61832,7.47328,1.03053,2026-04-07 12:03:43.243635+00
4107,hikon_s3_v1_accel_001,-0.907715,-0.023193,0.204834,0.930828,4.01527,7.73282,-3.23664,2026-04-07 12:03:53.030254+00
4108,hikon_s3_v1_accel_001,-0.951172,0.109619,0.094482,0.962118,1.66412,-0.366412,-3.37405,2026-04-07 12:04:03.004847+00
4109,hikon_s3_v1_accel_001,-0.949707,0.071045,0.148193,0.963822,5.45038,-0.580153,1.87786,2026-04-07 12:04:12.839047+00
4110,hikon_s3_v1_accel_001,-0.946045,0.116211,0.201416,0.974204,3.9542,-3.70229,-0.503817,2026-04-07 12:04:24.172719+00
4111,hikon_s3_v1_accel_001,-0.916016,-0.036621,0.071045,0.919496,17.7863,8.12214,-9.10687,2026-04-07 12:04:34.203103+00
4112,hikon_s3_v1_accel_001,-0.807617,0.467529,0.440918,1.0321,1.79389,0.679389,-2.87023,2026-04-07 12:07:24.935462+00
4113,hikon_s3_v1_accel_001,-0.763672,0.481201,0.455322,1.01097,1.28244,-2.00763,1,2026-04-07 12:07:36.180482+00
4114,hikon_s3_v1_accel_001,-0.775635,0.486816,0.455322,1.0227,-0.244275,0.122137,0.259542,2026-04-07 12:07:44.913416+00
4115,hikon_s3_v1_accel_001,-0.758057,0.463135,0.495117,1.017,0.435115,-1.72519,-2.35878,2026-04-07 12:07:54.912909+00
4116,hikon_s3_v1_accel_001,-0.734863,0.484863,0.534668,1.03004,2.84733,-1.66412,-0.572519,2026-04-07 12:08:05.33987+00
4117,hikon_s3_v1_accel_001,-0.698486,0.48584,0.591064,1.03599,1.70229,-1.60305,-0.442748,2026-04-07 12:08:22.554455+00
4118,hikon_s3_v1_accel_001,-0.682129,0.45752,0.624756,1.03196,1.8855,-1.19847,-0.335878,2026-04-07 12:08:33.23873+00
4119,hikon_s3_v1_accel_001,-0.692627,0.428955,0.669678,1.05461,2.00763,-1.80153,-0.572519,2026-04-07 12:08:42.618619+00
4120,hikon_s3_v1_accel_001,-0.631592,0.501709,0.695557,1.06509,3,1.06107,-2.03817,2026-04-07 12:08:52.805681+00
4121,hikon_s3_v1_accel_001,-0.643066,0.494873,0.698242,1.0705,3.14504,1.75573,-1.59542,2026-04-07 12:09:02.93177+00
