id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
3802,hikon_s3_v1_accel_001,-0.405273,-0.742676,0.657471,1.07149,2.25191,-0.89313,-1.16031,2026-04-07 09:17:39.047204+00
3803,hikon_s3_v1_accel_001,-0.380127,-0.744873,0.644043,1.05552,2.03053,-0.244275,0.580153,2026-04-07 09:17:48.62374+00
3804,hikon_s3_v1_accel_001,-0.340332,-0.795898,0.606689,1.05705,1.21374,-1.44275,-5.89313,2026-04-07 09:17:58.750575+00
3805,hikon_s3_v1_accel_001,-0.279053,-0.846436,0.583984,1.06553,1.99237,-1.47328,-1.80153,2026-04-07 09:18:15.217632+00
3806,hikon_s3_v1_accel_001,-0.071289,-0.879883,0.644287,1.09288,5.0458,0.656489,-1.22901,2026-04-07 09:18:25.310383+00
3807,hikon_s3_v1_accel_001,-0.038574,-0.877441,0.621094,1.07571,1.32824,-1.15267,-1.06107,2026-04-07 09:18:44.890023+00
3808,hikon_s3_v1_accel_001,-0.026123,-0.887451,0.624023,1.0852,2.9084,-0.435115,-2.20611,2026-04-07 09:18:55.438603+00
3809,hikon_s3_v1_accel_001,-0.010498,-0.877197,0.628662,1.07926,3.42748,-1.12977,-1.98473,2026-04-07 09:19:04.696482+00
3810,hikon_s3_v1_accel_001,-0.006104,-0.881836,0.640381,1.08984,2.46565,-0.832061,-1.99237,2026-04-07 09:19:15.026139+00
3811,hikon_s3_v1_accel_001,-0.002686,-0.884033,0.621582,1.08069,1.9084,0.030534,-1.48092,2026-04-07 09:19:24.725891+00
3812,hikon_s3_v1_accel_001,0.023682,-0.878174,0.635986,1.08454,2.42748,-1.70229,-1.96947,2026-04-07 09:19:44.205761+00
3813,hikon_s3_v1_accel_001,0.040283,-0.877197,0.637939,1.08539,1.07634,1.21374,-0.038168,2026-04-07 09:19:54.571913+00
3814,hikon_s3_v1_accel_001,0.033447,-0.87915,0.649414,1.09351,2.56488,-0.664122,-1.69466,2026-04-07 09:20:04.044993+00
3815,hikon_s3_v1_accel_001,0.044189,-0.882813,0.638672,1.09051,-0.458015,-0.679389,-2.17557,2026-04-07 09:20:14.796542+00
3816,hikon_s3_v1_accel_001,0.046631,-0.865479,0.651367,1.08421,3.41985,-0.091603,-1.35115,2026-04-07 09:20:24.255019+00
3817,hikon_s3_v1_accel_001,0.076904,-0.870361,0.654053,1.09143,2.35115,-0.755725,-2.22137,2026-04-07 09:20:34.607185+00
3818,hikon_s3_v1_accel_001,0.095703,-0.858643,0.668213,1.09221,1.42748,-0.465649,-1.54962,2026-04-07 09:20:46.266384+00
3819,hikon_s3_v1_accel_001,0.104736,-0.861816,0.653809,1.08681,1.61832,-0.366412,-1.20611,2026-04-07 09:20:56.610964+00
3820,hikon_s3_v1_accel_001,-0.910156,0.199219,0.022705,0.931981,1.32824,-3.94656,-2.48855,2026-04-07 09:23:38.060313+00
3821,hikon_s3_v1_accel_001,-0.914307,0.191406,0.00415,0.934136,5.16031,-0.183206,-2.99237,2026-04-07 09:23:48.051101+00
3822,hikon_s3_v1_accel_001,-0.92041,0.192871,0.004639,0.940412,1.65649,2.08397,-0.389313,2026-04-07 09:23:57.575879+00
3823,hikon_s3_v1_accel_001,-0.927734,0.197998,0.041016,0.949514,0.21374,-1.22901,-0.992366,2026-04-07 09:24:08.683528+00
3824,hikon_s3_v1_accel_001,-0.927246,0.154297,0.017822,0.940165,3.85496,-0.748092,-22.0076,2026-04-07 09:24:18.207725+00
3825,hikon_s3_v1_accel_001,-0.918213,0.025391,-0.096924,0.923663,0.396947,17.2748,31.5649,2026-04-07 09:24:38.085636+00
3826,hikon_s3_v1_accel_001,-0.938721,0.025635,-0.113281,0.945879,13.5191,-3.29771,-1.45801,2026-04-07 09:24:48.223095+00
3827,hikon_s3_v1_accel_001,-0.919189,0.088135,-0.051025,0.924814,0.679389,-1.94657,-1.80916,2026-04-07 09:25:07.984124+00
3828,hikon_s3_v1_accel_001,-0.910889,0.087158,-0.09668,0.920142,11.229,4.80916,-0.351145,2026-04-07 09:25:20.421306+00
3829,hikon_s3_v1_accel_001,-0.907959,0.082764,-0.114746,0.918916,1.90076,-0.022901,-1.86259,2026-04-07 09:25:40.147767+00
3830,hikon_s3_v1_accel_001,-0.904785,0.080566,-0.075928,0.911533,3.9084,-4.98473,-1.48855,2026-04-07 09:25:49.80036+00
3831,hikon_s3_v1_accel_001,-0.898682,0.121826,-0.116943,0.91441,2.64885,-0.656489,-1.77863,2026-04-07 09:26:41.846728+00
3832,hikon_s3_v1_accel_001,-0.907959,0.138428,-0.091797,0.923027,0.770992,-1.58015,-1.69466,2026-04-07 09:26:51.931342+00
3833,hikon_s3_v1_accel_001,-0.904541,0.138672,-0.091553,0.919677,4.16794,-2.15267,-2.00763,2026-04-07 09:27:01.660275+00
3834,hikon_s3_v1_accel_001,-0.915283,0.147949,-0.104248,0.933006,3.07634,-0.687023,-0.916031,2026-04-07 09:27:11.719295+00
3835,hikon_s3_v1_accel_001,-0.901855,0.166016,-0.101563,0.922616,4.99237,-1.29771,-3.47328,2026-04-07 09:27:21.718279+00
3836,hikon_s3_v1_accel_001,-0.909668,0.144287,-0.11377,0.92804,2.87023,-3.76336,-1.49618,2026-04-07 09:27:31.601061+00
3837,hikon_s3_v1_accel_001,-0.906006,0.133545,-0.116211,0.923139,1.84733,0.160305,-1.20611,2026-04-07 09:27:45.697156+00
3838,hikon_s3_v1_accel_001,-0.912598,0.135254,-0.122559,0.930671,3.12977,-1.64122,-1.28244,2026-04-07 09:27:55.606043+00
3839,hikon_s3_v1_accel_001,-0.912598,0.141846,-0.140381,0.934164,4.0687,-1.92366,-1.25954,2026-04-07 09:28:05.643375+00
3840,hikon_s3_v1_accel_001,-0.903076,0.12207,-0.100098,0.91677,-0.862595,-0.969466,-2.07634,2026-04-07 09:28:15.324605+00
3841,hikon_s3_v1_accel_001,-0.917725,0.119385,-0.134033,0.935113,4.36641,0.969466,-1.44275,2026-04-07 09:28:32.708319+00
3842,hikon_s3_v1_accel_001,-0.912598,0.119385,-0.104004,0.926231,2.59542,-0.648855,-1.21374,2026-04-07 09:28:43.173507+00
3843,hikon_s3_v1_accel_001,-0.905518,0.121094,-0.103271,0.919397,2.60305,0.038168,-1.35115,2026-04-07 09:28:52.910032+00
3844,hikon_s3_v1_accel_001,-0.895264,0.09375,-0.176758,0.917349,2.17557,-0.29771,-0.664122,2026-04-07 09:29:18.700693+00
3845,hikon_s3_v1_accel_001,-0.891602,0.098389,-0.182373,0.915365,3.41221,0.625954,-0.961832,2026-04-07 09:29:27.587125+00
3846,hikon_s3_v1_accel_001,-0.893555,0.090332,-0.176514,0.915291,1.98473,-1.66412,-1.49618,2026-04-07 09:29:38.029646+00
