id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
4141,hikon_s3_v1_accel_001,-0.920166,-0.011963,0.390869,0.999814,3.70229,1.49618,2.48092,2026-04-07 12:24:18.260235+00
4142,hikon_s3_v1_accel_001,-0.935547,-0.06543,0.281982,0.979307,1.20611,-0.839695,-1.25191,2026-04-07 12:24:28.843742+00
4143,hikon_s3_v1_accel_001,-0.926514,-0.109863,0.291992,0.977628,2.53435,-5.64122,-6.75572,2026-04-07 12:24:38.217727+00
4144,hikon_s3_v1_accel_001,-0.913818,-0.099365,0.45874,1.02732,2.9084,2.00763,-0.664122,2026-04-07 12:24:48.461526+00
4145,hikon_s3_v1_accel_001,-0.912842,-0.08374,0.406494,1.00276,2.34351,-1.19847,-1.9084,2026-04-07 12:24:58.411206+00
4146,hikon_s3_v1_accel_001,-0.886719,-0.105469,0.450439,1.00014,0.381679,0.854962,-3.69466,2026-04-07 12:25:18.964029+00
4147,hikon_s3_v1_accel_001,-0.899414,-0.166504,0.467285,1.02714,0.091603,2.14504,1.47328,2026-04-07 12:25:29.373459+00
4148,hikon_s3_v1_accel_001,-0.871826,-0.147461,0.510254,1.02087,2.81679,2.63359,-1.32824,2026-04-07 12:25:39.096697+00
4149,hikon_s3_v1_accel_001,-0.869141,-0.129395,0.533203,1.02784,2.24428,-0.458015,-2.25191,2026-04-07 12:25:49.187585+00
4150,hikon_s3_v1_accel_001,-0.866455,-0.137695,0.545898,1.0333,0.832061,-1.40458,-4.24428,2026-04-07 12:25:59.341394+00
4151,hikon_s3_v1_accel_001,-0.838867,-0.071289,0.61792,1.04432,2.25954,-3.25954,-2.22901,2026-04-07 12:26:16.132381+00
4152,hikon_s3_v1_accel_001,-0.815918,-0.053711,0.661865,1.05199,4.07634,-8.15267,-6.87023,2026-04-07 12:26:26.204151+00
4153,hikon_s3_v1_accel_001,-0.832275,-0.082764,0.613281,1.03713,1.71756,-1.44275,-4.49618,2026-04-07 12:26:36.206512+00
4154,hikon_s3_v1_accel_001,-0.833496,-0.109131,0.575195,1.01857,2.99237,-4.87023,-3.90076,2026-04-07 12:26:46.318066+00
4155,hikon_s3_v1_accel_001,-0.837158,-0.116211,0.575928,1.02276,1.89313,2.92366,1.60305,2026-04-07 12:26:56.20244+00
4156,hikon_s3_v1_accel_001,-0.828369,-0.121826,0.59668,1.02814,2.35115,0.664122,-0.335878,2026-04-07 12:27:06.450454+00
4157,hikon_s3_v1_accel_001,-0.832275,-0.130615,0.621094,1.04666,-0.503817,4.29008,2.79389,2026-04-07 12:27:16.254307+00
4158,hikon_s3_v1_accel_001,-0.688721,-0.185303,-0.510986,0.877371,2.18321,-2.41985,-1.19084,2026-04-07 12:30:55.087781+00
4159,hikon_s3_v1_accel_001,-0.787842,-0.091797,-0.390137,0.883928,-2.12977,1.21374,-2.22901,2026-04-07 12:31:22.492831+00
4160,hikon_s3_v1_accel_001,-0.79834,-0.05127,-0.401855,0.895245,-0.091603,-1.42748,-0.274809,2026-04-07 12:31:32.755777+00
4161,hikon_s3_v1_accel_001,-0.800537,-0.0625,-0.378174,0.887571,1.70992,-1.09924,-1.58779,2026-04-07 12:31:42.329488+00
4162,hikon_s3_v1_accel_001,-0.805664,-0.076172,-0.385986,0.896595,1.37405,-1.51145,0.381679,2026-04-07 12:31:52.081753+00
4163,hikon_s3_v1_accel_001,-0.791748,-0.057617,-0.382568,0.881217,1.58015,0.267176,-1.67939,2026-04-07 12:32:01.897744+00
4164,hikon_s3_v1_accel_001,-0.789307,-0.08252,-0.399902,0.888671,2.74046,-1.16794,-2.20611,2026-04-07 12:32:19.990459+00
4165,hikon_s3_v1_accel_001,-0.787598,-0.09082,-0.392822,0.884798,-0.022901,2.1145,0.641221,2026-04-07 12:32:30.076222+00
4166,hikon_s3_v1_accel_001,-0.77417,-0.09375,-0.417969,0.884775,3.1374,-0.412214,-2.60305,2026-04-07 12:32:40.019407+00
4167,hikon_s3_v1_accel_001,-0.772705,-0.092773,-0.425537,0.886996,2.32061,0.89313,-2.33588,2026-04-07 12:32:50.311481+00
4168,hikon_s3_v1_accel_001,-0.760986,-0.089111,-0.415283,0.871494,1.65649,0.251908,-0.961832,2026-04-07 12:33:00.279962+00
4169,hikon_s3_v1_accel_001,-0.764893,-0.096436,-0.422852,0.879297,1.9771,-0.374046,-1.32824,2026-04-07 12:33:10.767529+00
4170,hikon_s3_v1_accel_001,-0.759766,-0.10791,-0.427979,0.878666,2.34351,1.51145,-1.62595,2026-04-07 12:33:25.221131+00
4171,hikon_s3_v1_accel_001,-0.757813,-0.105469,-0.442383,0.883802,2.75572,0.717557,-4.44275,2026-04-07 12:33:35.733889+00
4172,hikon_s3_v1_accel_001,-0.762695,-0.094238,-0.429932,0.880583,1.52672,-1.80916,-0.022901,2026-04-07 12:33:45.626666+00
4173,hikon_s3_v1_accel_001,-0.75708,-0.101074,-0.422119,0.87268,2.81679,-0.870229,-1.49618,2026-04-07 12:33:55.243784+00
4174,hikon_s3_v1_accel_001,-0.78125,-0.069092,-0.391113,0.87641,1.52672,-0.473282,-2.58015,2026-04-07 12:34:05.676649+00
4175,hikon_s3_v1_accel_001,-0.803223,-0.083008,-0.386475,0.89522,4.1145,3.62595,-0.89313,2026-04-07 12:34:15.261917+00
4176,hikon_s3_v1_accel_001,-0.792236,-0.135742,-0.405518,0.900283,2.32824,-0.251908,0.320611,2026-04-07 12:34:30.677367+00
4177,hikon_s3_v1_accel_001,-0.855225,0.06665,-0.232178,0.888683,-12.1679,-0.274809,2.26718,2026-04-07 12:34:41.177258+00
4178,hikon_s3_v1_accel_001,-0.833984,-0.163818,0.563965,1.02001,2.08397,-0.21374,0.366412,2026-04-07 12:37:06.206139+00
4179,hikon_s3_v1_accel_001,-0.890625,-0.205078,0.424072,1.00752,3.00763,-1.33588,-1.27481,2026-04-07 12:37:28.761968+00
4180,hikon_s3_v1_accel_001,-0.892578,-0.155518,0.441895,1.00804,0.541985,-0.061069,-1.96947,2026-04-07 12:37:38.181812+00
4181,hikon_s3_v1_accel_001,-0.89209,-0.148193,0.451904,1.01094,1.32061,-1.27481,-0.992366,2026-04-07 12:37:48.00668+00
4182,hikon_s3_v1_accel_001,-0.885498,-0.179443,0.469971,1.01842,2.0916,-1.19847,-2.33588,2026-04-07 12:37:58.036718+00
4183,hikon_s3_v1_accel_001,-0.885498,-0.13208,0.487793,1.01956,2.57252,-0.984733,-0.946565,2026-04-07 12:38:08.338007+00
4184,hikon_s3_v1_accel_001,-0.869629,-0.197266,0.489258,1.01712,1.51145,-1.38931,-1.52672,2026-04-07 12:38:28.095803+00
4185,hikon_s3_v1_accel_001,-0.858887,-0.221436,0.470459,1.00402,0.870229,0.885496,-0.847328,2026-04-07 12:38:38.333179+00
4186,hikon_s3_v1_accel_001,-0.862793,-0.234375,0.491943,1.02047,2.1145,0.038168,-0.862595,2026-04-07 12:38:48.67859+00
4187,hikon_s3_v1_accel_001,-0.852295,-0.258057,0.503662,1.02307,0.671756,0.78626,-1.32824,2026-04-07 12:38:58.19142+00
4188,hikon_s3_v1_accel_001,-0.839111,-0.308105,0.51001,1.02915,3.8855,-0.572519,-1.12214,2026-04-07 12:39:08.493256+00
4189,hikon_s3_v1_accel_001,-0.81543,-0.313477,0.474854,0.994323,3.84733,0.717557,-0.580153,2026-04-07 12:39:18.273905+00
4190,hikon_s3_v1_accel_001,-0.821045,-0.361084,0.458496,1.00733,4.29771,-1.10687,0.068702,2026-04-07 12:39:31.694379+00
4191,hikon_s3_v1_accel_001,-0.733398,-0.063721,-0.47876,0.878148,3.57252,0.122137,-0.78626,2026-04-07 12:41:45.493905+00
4192,hikon_s3_v1_accel_001,-0.751221,-0.058594,-0.470703,0.888441,2.43512,-1.53435,-1.70229,2026-04-07 12:41:54.636323+00
4193,hikon_s3_v1_accel_001,-0.751465,-0.048096,-0.463379,0.884156,2.82443,0.740458,4.35114,2026-04-07 12:42:05.076603+00
4194,hikon_s3_v1_accel_001,-0.730713,-0.075439,-0.509766,0.894144,2.55725,-0.78626,-1.30534,2026-04-07 12:42:14.801523+00
4195,hikon_s3_v1_accel_001,-0.697021,-0.087402,-0.504395,0.864807,2.39695,-0.183206,-1.76336,2026-04-07 12:42:24.991267+00
4196,hikon_s3_v1_accel_001,-0.713623,-0.0896,-0.512451,0.883115,2.54962,-1.14504,-1.65649,2026-04-07 12:42:34.839274+00
4197,hikon_s3_v1_accel_001,-0.704102,-0.198486,-0.483398,0.876829,-3.46565,7.12977,12.916,2026-04-07 12:43:44.050004+00
4198,hikon_s3_v1_accel_001,-0.678711,-0.193359,-0.492432,0.860538,-1.29771,-4.35114,-1.76336,2026-04-07 12:43:53.628295+00
4199,hikon_s3_v1_accel_001,-0.643311,-0.228271,-0.558105,0.881724,8.12214,7.58779,-1.86259,2026-04-07 12:44:03.105573+00
4200,hikon_s3_v1_accel_001,-0.658447,-0.228027,-0.535889,0.879048,2.1374,-3.27481,-1.78626,2026-04-07 12:44:14.216689+00
4201,hikon_s3_v1_accel_001,-0.641602,-0.22583,-0.554199,0.877376,2.42748,-0.480916,-1.58779,2026-04-07 12:44:23.318937+00
4202,hikon_s3_v1_accel_001,-0.729736,-0.087158,-0.488281,0.882344,0.854962,-3.41985,1.10687,2026-04-07 12:45:07.780462+00
4203,hikon_s3_v1_accel_001,-0.727783,-0.090088,-0.462158,0.866819,2.57252,0.427481,-0.908397,2026-04-07 12:45:18.051663+00
4204,hikon_s3_v1_accel_001,-0.761719,-0.103027,-0.429688,0.880603,-0.053435,18.8931,-6.48855,2026-04-07 12:45:38.130795+00
