id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
3946,hikon_s3_v1_accel_001,-0.773682,0.05249,0.712891,1.05335,4.28244,25.4046,32.2137,2026-04-07 10:41:33.640795+00
3947,hikon_s3_v1_accel_001,-0.747559,0.041504,0.742676,1.05458,1.44275,2.53435,-1.16794,2026-04-07 10:41:39.408058+00
3948,hikon_s3_v1_accel_001,-0.729492,0.053223,0.775146,1.06576,2.33588,-0.48855,0.961832,2026-04-07 10:41:51.044628+00
3949,hikon_s3_v1_accel_001,-0.524902,0.36499,0.877686,1.08585,1.94657,-1.68702,-1.38931,2026-04-07 10:42:03.466211+00
3950,hikon_s3_v1_accel_001,-0.625244,0.162598,0.875977,1.08844,0.763359,0.656489,-2.22137,2026-04-07 10:42:09.052409+00
3951,hikon_s3_v1_accel_001,-0.608154,0.122803,0.877441,1.07463,1.33588,-3.00763,0.748092,2026-04-07 10:42:51.189816+00
3952,hikon_s3_v1_accel_001,-0.604736,0.08374,0.910645,1.09635,0.687023,-1.07634,-1.80153,2026-04-07 10:43:03.213272+00
3953,hikon_s3_v1_accel_001,-0.571045,0.138428,0.947754,1.11512,0.938931,1.17557,-2.12214,2026-04-07 10:43:23.137636+00
3954,hikon_s3_v1_accel_001,-0.594482,0.159668,0.928955,1.11439,0.59542,-0.824427,0.396947,2026-04-07 10:43:32.270898+00
3955,hikon_s3_v1_accel_001,-0.570068,0.157227,0.915527,1.0899,-0.824427,-2.44275,-2.16794,2026-04-07 10:43:44.831697+00
3956,hikon_s3_v1_accel_001,-0.56543,0.155762,0.919922,1.09098,-1.34351,-2.29008,-1.8855,2026-04-07 10:43:53.372857+00
3957,hikon_s3_v1_accel_001,-0.571289,0.162354,0.920654,1.0956,0.870229,-1.01527,-3.0458,2026-04-07 10:44:01.912899+00
3958,hikon_s3_v1_accel_001,-0.543945,0.553711,0.743408,1.07477,4.46565,0.534351,-0.335878,2026-04-07 10:45:12.638524+00
3959,hikon_s3_v1_accel_001,-0.476807,0.334473,0.918213,1.08735,6.29771,1.52672,-0.770992,2026-04-07 10:45:32.079244+00
3960,hikon_s3_v1_accel_001,-0.9375,-0.082764,0.067139,0.943538,3.42748,-1.42748,-1.87023,2026-04-07 10:47:53.780275+00
3961,hikon_s3_v1_accel_001,-0.947266,-0.09375,0.086914,0.955853,1.14504,-1.01527,-2.28244,2026-04-07 10:48:04.311182+00
3962,hikon_s3_v1_accel_001,-0.945801,-0.133301,0.099121,0.960278,3.45801,-1.03053,-1.83206,2026-04-07 10:48:13.883025+00
3963,hikon_s3_v1_accel_001,-0.940918,-0.098389,0.112793,0.952748,2.20611,0.419847,-0.519084,2026-04-07 10:48:23.664348+00
3964,hikon_s3_v1_accel_001,-0.937012,-0.124023,0.118408,0.952572,2.18321,-1.05343,0.709924,2026-04-07 10:48:33.667916+00
